city,lat,lng
amsterdam,52.370216,4.895168
athens,37.98381,23.727539
bangkok,13.756331,100.501762
barcelona,41.385063,2.173404
beijing,39.904202,116.407394
berlin,52.520008,13.404954
bogota,4.60688,-74.071838
boston,42.360081,-71.058884
bruxelles,50.850346,4.351721
buenos_aires,-34.603683,-58.381557
cairo,30.04442,31.235712
cape_town,-33.92487,18.424055
chicago,41.878113,-87.629799
dallas,32.776665,-96.796989
detroit,42.331429,-83.045753
dhaka,23.810331,90.412521
dubai,25.204849,55.270782
guangzhou,23.12911,113.264381
hamburg,53.551086,9.993682
houston,29.760427,-95.369804
istanbul,41.00824,28.978359
jakarta,-6.17511,106.865036
karachi,24.860735,67.001137
kinshasa,-4.441931,15.266293
kuala_lumpur,3.139003,101.686852
lagos,6.524379,3.379206
lima,-12.046373,-77.042755
london,51.507351,-0.127758
los_angeles,34.052235,-118.243683
madrid,40.416775,-3.70379
manila,14.599512,120.984222
melbourne,-37.813629,144.963058
mexico_city,19.432608,-99.133209
milan,45.464203,9.189982
moskow,55.755825,37.617298
mumbai,19.075983,72.877655
new_delhi,28.613939,77.209023
new_york_city,40.712776,-74.005974
osaka,34.693737,135.502167
ottawa,45.421532,-75.697189
paris,48.856613,2.352222
philadelphia,39.952583,-75.165222
rio_de_janeiro,-22.906847,-43.172897
rome,41.902782,12.496365
san_francisco,37.774929,-122.419418
santiago,-33.448891,-70.669266
sao_paulo,-23.55052,-46.633308
seoul,37.566536,126.977966
shangai,31.230391,121.473701
shenzen,22.543097,114.057861
sydney,-33.86882,151.20929
tehran,35.689198,51.388973
tokyo,35.689487,139.691711
toronto,43.653225,-79.383186
vancouver,49.28273,-123.120735
washington_dc,38.907192,-77.036873
